2025-08-26 20:26:23,515 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmproh1l71a | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 20:26:23,516 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmproh1l71a/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 20:26:23,550 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 20:26:28,217 | INFO     | process_images:87 | Request unknown: Processing completed in 4.666s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 20:26:28,218 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 20:26:28,218 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 20:49:20,083 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 20:49:20,087 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 20:49:20,088 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp3ckybo7r | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 20:49:20,089 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp3ckybo7r/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 20:49:20,103 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 20:49:25,165 | INFO     | process_images:87 | Request unknown: Processing completed in 5.062s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 20:49:25,166 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 20:49:25,167 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
2025-08-26 20:59:56,601 | INFO     | process_images:57 | Request unknown: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:57
2025-08-26 20:59:56,604 | INFO     | process_images:65 | Request unknown: File size: 9553494 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:65
2025-08-26 20:59:56,605 | DEBUG    | process_images:71 | Request unknown: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpc9scloma | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:71
2025-08-26 20:59:56,605 | DEBUG    | process_images:75 | Request unknown: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmpc9scloma/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:75
2025-08-26 20:59:56,616 | INFO     | process_images:80 | Request unknown: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:80
2025-08-26 21:00:01,484 | INFO     | process_images:87 | Request unknown: Processing completed in 4.867s | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:87
2025-08-26 21:00:01,485 | DEBUG    | process_images:92 | Request unknown: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:92
2025-08-26 21:00:01,485 | INFO     | process_images:94 | Request unknown: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/routes/promptmap.py:94
